sample_index,t_sec,IA(A),IB(A),IC(A),IN(A),IG(A),VA(V),VB(V),VC(V),VS(V),VBAT(V),LSENS1(%),LSENS2(%),LSENS3(%),LSENS4(%),FREQ,TRIG,digital_hex,TRIP,REMTRIP,50P1P,ORED50T,51AT,label_fault,trigger_used
38,0.02375,,-3.5,-7.0,3.5,-10.5,-95,-131,226,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
39,0.024375,,0.0,-7.0,0.0,0.0,-53,-163,217,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
40,0.025,,0.0,-7.0,0.0,-7.0,-8,-191,199,0,232,0.02,0.0,0.0,0.01,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
41,0.025625,,-3.5,-3.5,0.0,-3.5,35,-210,176,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
42,0.02625,,0.0,-3.5,0.0,-3.5,77,-222,145,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
43,0.026875,,0.0,0.0,0.0,3.5,118,-226,108,0,233,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
44,0.0275,,0.0,-3.5,-3.5,0.0,153,-221,67,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
45,0.028125,,-3.5,-7.0,0.0,-10.5,182,-206,23,0,232,0.03,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
46,0.02875,,-3.5,-3.5,0.0,-3.5,205,-185,-21,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
47,0.029375,,0.0,-3.5,-3.5,-3.5,219,-156,-63,0,232,0.02,0.0,0.0,0.01,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
48,0.03,,-3.5,-3.5,-3.5,-7.0,226,-120,-105,0,233,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
49,0.030625,,0.0,-3.5,0.0,-3.5,225,-81,-143,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
50,0.03125,,-7.0,0.0,0.0,-7.0,212,-39,-173,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
51,0.031875,,-3.5,-3.5,0.0,-10.5,192,7,-199,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
